checkpoint,seed,num_layers,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5683665798460951,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_hundreds,BpowD,B^D,-0.06358098422104361,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_hundreds,NdivBpowD,N / B^D,-0.24142208845343033,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_hundreds,floorNdivBpowD,floor(N / B^D),-0.23979855533227074,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_hundreds,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5688624835415163,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_tens,BpowD,B^D,-0.07127936289346337,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_tens,NdivBpowD,N / B^D,-0.15792131667756898,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_tens,floorNdivBpowD,floor(N / B^D),-0.15698296007458562,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.36938838192714873,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_ones,BpowD,B^D,-0.0987622449406758,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_ones,NdivBpowD,N / B^D,-0.15677998459323214,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_ones,floorNdivBpowD,floor(N / B^D),-0.1562521237631534,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.3166638992778096,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,B_tag,BpowD,B^D,-0.10771720579954783,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,B_tag,NdivBpowD,N / B^D,-0.16195298636628933,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,B_tag,floorNdivBpowD,floor(N / B^D),-0.16138595514461915,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,B_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.30915320523634093,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,B_tens,BpowD,B^D,-0.15101260110904707,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,B_tens,NdivBpowD,N / B^D,-0.18988461605304746,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,B_tens,floorNdivBpowD,floor(N / B^D),-0.19008182803919133,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,B_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.14468172655126432,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,B_ones,BpowD,B^D,-0.07675976476761652,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,B_ones,NdivBpowD,N / B^D,-0.17328444076701105,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,B_ones,floorNdivBpowD,floor(N / B^D),-0.1734653420358307,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,B_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,0.010693486585167288,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,D_tag,BpowD,B^D,-0.08238469840203218,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,D_tag,NdivBpowD,N / B^D,-0.16421368738759531,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,D_tag,floorNdivBpowD,floor(N / B^D),-0.16439624432066363,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,D_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,0.016438540679688862,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,D_ones,BpowD,B^D,0.9545000265776669,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,D_ones,NdivBpowD,N / B^D,0.9680267687900684,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,D_ones,floorNdivBpowD,floor(N / B^D),0.9680613039465653,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,D_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,0.5454749114781829,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,O[0],BpowD,B^D,0.7345153047532931,3848,5
