seed,target,target_label,representation_index,layer_label,stream,trained_cv_r2,init_cv_r2,trained_minus_init_cv_r2,remaining_gap_to_one_at_init,fraction_remaining_gap_closed,positive_fraction_remaining_gap_closed
42,BpowD,B^D,1,0,B_tens,-0.2693317387651749,-0.15307566213874732,-0.11625607662642759,1.1530756621387472,-0.10082259165091868,0.0
1337,BpowD,B^D,1,0,B_tens,-0.0261258576003361,-0.022290900912721012,-0.003834956687615087,1.022290900912721,-0.003751336027926262,0.0
0,BpowD,B^D,2,1,B_tens,-0.1693725877446889,-0.13356682342396947,-0.03580576432071944,1.1335668234239695,-0.03158681392294735,0.0
42,BpowD,B^D,2,1,B_tens,-0.16700787442423848,-0.17317774048311158,0.006169866058873097,1.1731777404831116,0.005259105970023231,0.005259105970023231
1337,BpowD,B^D,2,1,B_tens,-0.025589848486308762,-0.026201271339931644,0.0006114228536228811,1.0262012713399316,0.0005958118262945962,0.0005958118262945962
0,BpowD,B^D,3,2,B_tens,-0.15101260110904707,-0.14004509809681714,-0.010967503012229929,1.140045098096817,-0.009620236103412925,0.0
42,BpowD,B^D,3,2,B_tens,-0.19111938051518007,-0.1727593190754016,-0.018360061439778474,1.1727593190754015,-0.015655438538108118,0.0
1337,BpowD,B^D,3,2,B_tens,-0.023515114443757867,-0.025681557671992605,0.002166443228234737,1.0256815576719926,0.0021121986761192734,0.0021121986761192734
0,BpowD,B^D,4,3,B_tens,-0.13859900887740118,-0.13738418656069146,-0.0012148223167097183,1.1373841865606915,-0.001068084409000964,0.0
42,BpowD,B^D,4,3,B_tens,-0.20241293596760507,-0.17022237525099934,-0.032190560716605726,1.1702223752509993,-0.027508071454967028,0.0
1337,BpowD,B^D,4,3,B_tens,-0.025835911040710768,-0.023805996607979774,-0.002029914432730994,1.0238059966079798,-0.0019827139511356642,0.0
0,BpowD,B^D,5,4,B_tens,-0.12669633962616977,-0.14501716942321732,0.01832082979704755,1.1450171694232174,0.016000484784238083,0.016000484784238083
42,BpowD,B^D,5,4,B_tens,-0.2152002205321566,-0.16961726189573728,-0.04558295863641931,1.1696172618957372,-0.03897254266112456,0.0
1337,BpowD,B^D,5,4,B_tens,-0.029623919335181114,-0.02014610569660167,-0.009477813638579444,1.0201461056966017,-0.00929064335554912,0.0
0,BpowD,B^D,6,5,B_tens,-0.14104795473311205,-0.1364610273008358,-0.004586927432276233,1.1364610273008358,-0.0040361502260842725,0.0
42,BpowD,B^D,6,5,B_tens,-0.2110242625740068,-0.16876266266190282,-0.042261599912103986,1.1687626626619028,-0.03615926591618827,0.0
1337,BpowD,B^D,6,5,B_tens,-0.03038561059124334,-0.02684185459686452,-0.003543755994378818,1.0268418545968645,-0.003451121493065831,0.0
0,BpowD,B^D,7,6,B_tens,-0.146305637774147,-0.1482466121135336,0.0019409743393865864,1.1482466121135335,0.0016903810722453685,0.0016903810722453685
42,BpowD,B^D,7,6,B_tens,-0.22082997740375426,-0.1778176630078241,-0.043012314395930173,1.177817663007824,-0.03651865288391795,0.0
1337,BpowD,B^D,7,6,B_tens,-0.029253572880568533,-0.026679534613436175,-0.0025740382671323586,1.026679534613436,-0.0025071487064379167,0.0
0,BpowD,B^D,8,7,B_tens,-0.13417483361181817,-0.13630654525772884,0.0021317116459106666,1.1363065452577288,0.0018760004989913767,0.0018760004989913767
42,BpowD,B^D,8,7,B_tens,-0.20960483956463388,-0.16833416130241918,-0.0412706782622147,1.1683341613024192,-0.03532437861459734,0.0
1337,BpowD,B^D,8,7,B_tens,-0.030467422125957856,-0.027453995955489717,-0.003013426170468139,1.0274539959554898,-0.002932906176169744,0.0
0,BpowD,B^D,9,8,B_tens,-0.14367441666570685,-0.14177571942206946,-0.0018986972436373928,1.1417757194220695,-0.0016629336316579344,0.0
42,BpowD,B^D,9,8,B_tens,-0.21378251089813677,-0.15849019651825474,-0.055292314379882024,1.1584901965182548,-0.047727908743689366,0.0
1337,BpowD,B^D,9,8,B_tens,-0.030986010189716785,-0.025837422646636087,-0.005148587543080698,1.025837422646636,-0.005018911797736395,0.0
0,BpowD,B^D,10,9,B_tens,-0.14254228996288903,-0.14293351772838897,0.0003912277654999352,1.142933517728389,0.00034230141948895756,0.00034230141948895756
42,BpowD,B^D,10,9,B_tens,-0.2153650470094306,-0.1529130475265157,-0.06245199948291491,1.1529130475265157,-0.0541688721598743,0.0
1337,BpowD,B^D,10,9,B_tens,-0.029183699059058998,-0.028390743409096374,-0.0007929556499626234,1.0283907434090964,-0.0007710645540565543,0.0
0,BpowD,B^D,0,input,D_ones,0.17809632724811394,0.1780963272481125,1.4432899320127035e-15,0.8219036727518875,1.7560329511368388e-15,1.7560329511368388e-15
